Function,Iterations,Concatenations,OPS,Error,JVM,Computer
String Buffer,10000,1,5077.288,2001.229,temurin-20.0.2,M2 Macbook Air
String Buffer,100000,1,376.913,640.853,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,1,15.869,4.995,temurin-20.0.2,M2 Macbook Air
String Buffer,1,2,31937628.22,99026.332,temurin-20.0.2,M2 Macbook Air
String Buffer,10,2,3269757.808,14833.969,temurin-20.0.2,M2 Macbook Air
String Buffer,100,2,323917.114,3386.146,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,2,32257.332,283.342,temurin-20.0.2,M2 Macbook Air
String Buffer,10000,2,3229.334,114.334,temurin-20.0.2,M2 Macbook Air
String Buffer,100000,2,321.853,1.58,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,2,32.247,0.145,temurin-20.0.2,M2 Macbook Air
String Buffer,1,4,23318313.46,117799.756,temurin-20.0.2,M2 Macbook Air
String Buffer,10,4,2332396.971,9006.8,temurin-20.0.2,M2 Macbook Air
String Buffer,100,4,238236.32,628.017,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,4,23808.139,65.651,temurin-20.0.2,M2 Macbook Air
String Buffer,10000,4,2384.027,34.74,temurin-20.0.2,M2 Macbook Air
String Buffer,100000,4,238.212,0.816,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,4,23.638,0.075,temurin-20.0.2,M2 Macbook Air
String Buffer,1,8,15570720.24,137918.528,temurin-20.0.2,M2 Macbook Air
String Buffer,10,8,1535759.142,4759.021,temurin-20.0.2,M2 Macbook Air
String Buffer,100,8,155058.404,432.006,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,8,15474.836,15.57,temurin-20.0.2,M2 Macbook Air
String Buffer,10000,8,1552.577,12.558,temurin-20.0.2,M2 Macbook Air
String Buffer,100000,8,154.775,0.664,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,8,15.301,0.097,temurin-20.0.2,M2 Macbook Air
String Buffer,1,16,9209002.036,21113.94,temurin-20.0.2,M2 Macbook Air
String Buffer,10,16,921255.967,2079.302,temurin-20.0.2,M2 Macbook Air
String Buffer,100,16,91752.435,826.015,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,16,9196.547,15.477,temurin-20.0.2,M2 Macbook Air
String Buffer,10000,16,911.099,3.092,temurin-20.0.2,M2 Macbook Air
String Buffer,100000,16,91.734,0.238,temurin-20.0.2,M2 Macbook Air
String Buffer,1000000,16,8.911,0.082,temurin-20.0.2,M2 Macbook Air
String Buffer,1,32,5066830.745,25431.667,temurin-20.0.2,M2 Macbook Air
String Buffer,10,32,507362.297,1691.57,temurin-20.0.2,M2 Macbook Air
String Buffer,100,32,50590.571,162.473,temurin-20.0.2,M2 Macbook Air
String Buffer,1000,32,5056.494,27.276,temurin-20.0.2,M2 Macbook Air
String Buffer,10000,32,505.56,2.048,temurin-20.0.2,M2 Macbook Air
